"07230: Prisindeks for brukte boliger, etter statistikkvariabel, region, boligtype og år"

"statistikkvariabel";"region";"boligtype";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Prisindeks for brukte boliger";"Agder og Rogaland uten Stavanger";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.4;62.5;74.9;78.2;78.6;85.3;92.2;96.6;98.8;99.5;100.0;99.0;100.1;100.3;101.6;104.3
"Prisindeks for brukte boliger";"Agder og Rogaland uten Stavanger";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.2;61.7;74.0;77.6;78.2;84.9;91.8;96.2;98.4;99.3;100.0;98.7;99.9;100.2;101.7;104.2
"Prisindeks for brukte boliger";"Agder og Rogaland uten Stavanger";"Småhus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;53.3;64.2;77.0;79.5;79.1;86.2;93.1;96.9;99.4;99.8;100.0;99.9;100.4;100.3;100.7;104.7
"Prisindeks for brukte boliger";"Agder og Rogaland uten Stavanger";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.4;65.9;78.3;80.1;80.3;86.6;92.9;98.7;101.6;100.2;100.0;100.1;101.5;101.5;102.6;104.6
"Prisindeks for brukte boliger";"Møre og Romsdal og Vestland uten Bergen";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.9;63.8;72.1;73.2;76.6;80.6;86.5;90.6;94.3;96.0;100.0;103.6;104.9;106.2;107.3;109.4
"Prisindeks for brukte boliger";"Møre og Romsdal og Vestland uten Bergen";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.6;64.2;71.9;73.6;77.2;80.8;87.3;91.0;94.9;96.3;100.0;103.6;105.1;106.1;107.2;108.0
"Prisindeks for brukte boliger";"Møre og Romsdal og Vestland uten Bergen";"Småhus";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.7;63.0;72.8;73.2;74.7;80.8;84.2;90.0;93.3;95.7;100.0;104.4;104.6;107.6;108.1;113.2
"Prisindeks for brukte boliger";"Møre og Romsdal og Vestland uten Bergen";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.1;63.8;74.2;70.1;75.3;78.0;83.8;87.6;90.9;94.5;100.0;100.6;102.6;103.1;105.3;111.2
"Prisindeks for brukte boliger";"Trøndelag uten Trondheim";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;58.9;65.2;67.2;67.3;73.3;80.8;87.7;91.9;95.2;100.0;105.3;108.7;108.8;109.4;113.8
"Prisindeks for brukte boliger";"Trøndelag uten Trondheim";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.1;58.6;64.6;67.4;66.8;73.0;80.1;87.7;91.7;95.1;100.0;105.1;107.7;107.5;108.0;112.2
"Prisindeks for brukte boliger";"Trøndelag uten Trondheim";"Småhus";0.0;0.0;0.0;..;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;..;..;..;..
"Prisindeks for brukte boliger";"Trøndelag uten Trondheim";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.3;59.1;65.7;66.6;69.8;74.4;81.5;88.6;91.3;95.0;100.0;105.4;108.3;110.9;115.3;118.0
"Prisindeks for brukte boliger";"Nord-Norge";"Boliger i alt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;55.0;62.4;71.0;69.8;70.2;76.2;79.8;86.2;91.1;95.6;100.0;108.3;112.9;115.1;118.7;122.3
"Prisindeks for brukte boliger";"Nord-Norge";"Eneboliger";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;56.0;63.1;72.4;71.8;71.8;78.6;81.5;87.6;91.7;96.4;100.0;108.8;113.7;115.8;120.0;122.3
"Prisindeks for brukte boliger";"Nord-Norge";"Småhus";0.0;0.0;0.0;..;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;..;..;..;..
"Prisindeks for brukte boliger";"Nord-Norge";"Blokkleiligheter";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.2;61.9;68.5;64.6;65.3;69.5;74.7;80.5;87.0;93.2;100.0;105.9;112.1;115.4;119.1;123.6
