"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0488 Trosa";"permanent dwelling (no site leasehold rights)";..;..;..;..;..;..;..;..;..;..;..;936;729;674;751;713;795;853;921;1162;1306;1338;1444;1465;1567;1733;1946;1984;1986;2295;2421;2262;2523;2358;2934;3095;3489;3412;3279
"0509 Ödeshög";"permanent dwelling (no site leasehold rights)";227;222;237;241;207;199;230;260;311;385;348;336;332;415;339;317;408;376;426;394;409;402;504;476;496;553;665;689;718;640;805;692;630;837;985;940;1060;1201;1270
"0512 Ydre";"permanent dwelling (no site leasehold rights)";249;212;163;206;195;197;206;259;278;334;338;314;343;340;352;397;348;407;337;362;440;418;425;418;428;513;528;580;538;588;619;735;670;879;998;675;907;915;1127
"0513 Kinda";"permanent dwelling (no site leasehold rights)";240;241;275;304;289;277;289;354;404;472;490;489;504;412;420;459;482;508;477;525;573;557;678;736;774;774;1049;1002;1000;934;983;1073;1073;1144;1393;1574;1693;1667;1792
"0560 Boxholm";"permanent dwelling (no site leasehold rights)";277;250;211;234;247;253;272;301;353;369;371;301;295;353;318;361;358;376;400;406;415;455;442;503;574;677;784;783;686;791;816;958;1044;903;1016;1275;1361;1263;1484
"0561 Åtvidaberg";"permanent dwelling (no site leasehold rights)";287;311;317;292;314;352;356;405;485;536;551;492;460;504;533;497;542;583;583;625;662;717;715;858;815;916;934;966;1086;977;1036;1055;1114;1357;1245;1521;1762;1853;2003
"0562 Finspång";"permanent dwelling (no site leasehold rights)";296;273;279;301;298;327;389;454;496;553;570;522;445;481;491;538;552;603;581;595;598;565;649;671;806;806;893;942;902;999;1027;960;1070;1233;1234;1398;1610;1671;1966
"0563 Valdemarsvik";"permanent dwelling (no site leasehold rights)";303;246;271;300;292;282;301;379;410;451;513;499;437;466;484;439;433;494;536;569;587;567;704;679;789;863;788;850;894;1178;1297;1066;1063;1013;1071;999;1295;1380;1337
"0580 Linköping";"permanent dwelling (no site leasehold rights)";406;417;404;416;440;456;505;585;674;741;820;770;783;756;761;785;845;934;1006;1139;1296;1391;1529;1725;1843;2094;2188;2159;2353;2398;2536;2528;2571;2786;3072;3284;3704;3710;3827
"0581 Norrköping";"permanent dwelling (no site leasehold rights)";388;401;398;401;416;442;478;563;656;728;791;717;655;665;682;722;757;810;845;919;941;1053;1119;1314;1471;1626;1836;1868;1876;2046;2060;2112;2225;2300;2601;2899;3050;3219;3394
"0582 Söderköping";"permanent dwelling (no site leasehold rights)";388;372;388;420;451;468;517;603;609;777;777;762;693;683;695;634;679;817;818;828;822;936;1147;1101;1248;1532;1713;1489;1734;1707;1672;1807;1962;2027;2180;2362;2583;2646;2714
"0583 Motala";"permanent dwelling (no site leasehold rights)";291;278;277;290;298;315;343;408;430;515;559;532;483;489;494;539;555;588;633;697;714;766;825;868;994;1120;1140;1236;1306;1320;1275;1339;1382;1434;1696;1864;2090;2218;2331
"0584 Vadstena";"permanent dwelling (no site leasehold rights)";273;300;259;293;301;314;319;393;407;458;536;539;453;552;555;525;635;651;644;636;807;895;834;822;993;975;1306;1520;1301;1748;1405;1627;1362;1657;1704;2232;1931;2194;2130
"0586 Mjölby";"permanent dwelling (no site leasehold rights)";288;292;293;294;296;313;334;394;438;521;530;494;512;512;518;504;550;574;610;620;663;743;849;903;1014;1198;1199;1316;1375;1391;1286;1409;1470;1587;1816;1991;2105;2261;2348
"0604 Aneby";"permanent dwelling (no site leasehold rights)";202;225;219;251;252;284;258;306;326;407;376;420;310;377;375;376;403;391;391;408;380;427;493;468;621;583;637;662;713;729;661;731;698;759;864;953;977;1143;1245
