"12407: Monthly earnings, by level of education, number of years since education was completed, field of study, contents, year and measuring method"

"level of education";"number of years since education was completed";"field of study";"Basic monthly salary (NOK) 2015 Average";"Basic monthly salary (NOK) 2015 Median";"Basic monthly salary (NOK) 2015 Lower quartile";"Basic monthly salary (NOK) 2015 Upper quartile";"Basic monthly salary (NOK) 2015 Number of eployments with earnings";"Basic monthly salary (NOK) 2015 Number of full-time equivalents";"Basic monthly salary (NOK) 2016 Average";"Basic monthly salary (NOK) 2016 Median";"Basic monthly salary (NOK) 2016 Lower quartile";"Basic monthly salary (NOK) 2016 Upper quartile";"Basic monthly salary (NOK) 2016 Number of eployments with earnings";"Basic monthly salary (NOK) 2016 Number of full-time equivalents";"Basic monthly salary (NOK) 2017 Average";"Basic monthly salary (NOK) 2017 Median";"Basic monthly salary (NOK) 2017 Lower quartile";"Basic monthly salary (NOK) 2017 Upper quartile";"Basic monthly salary (NOK) 2017 Number of eployments with earnings";"Basic monthly salary (NOK) 2017 Number of full-time equivalents";"Basic monthly salary (NOK) 2018 Average";"Basic monthly salary (NOK) 2018 Median";"Basic monthly salary (NOK) 2018 Lower quartile";"Basic monthly salary (NOK) 2018 Upper quartile";"Basic monthly salary (NOK) 2018 Number of eployments with earnings";"Basic monthly salary (NOK) 2018 Number of full-time equivalents";"Basic monthly salary (NOK) 2019 Average";"Basic monthly salary (NOK) 2019 Median";"Basic monthly salary (NOK) 2019 Lower quartile";"Basic monthly salary (NOK) 2019 Upper quartile";"Basic monthly salary (NOK) 2019 Number of eployments with earnings";"Basic monthly salary (NOK) 2019 Number of full-time equivalents";"Basic monthly salary (NOK) 2020 Average";"Basic monthly salary (NOK) 2020 Median";"Basic monthly salary (NOK) 2020 Lower quartile";"Basic monthly salary (NOK) 2020 Upper quartile";"Basic monthly salary (NOK) 2020 Number of eployments with earnings";"Basic monthly salary (NOK) 2020 Number of full-time equivalents"
"Unknown or no completed education (level 0, 9)";"0-4 years";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"0-4 years";"9 Unspecified field of study";28030;27500;23980;29230;383;;28540;28280;24770;30080;235;151;29420;28750;24360;32130;121;86;30520;29230;26250;32990;117;81;32640;30000;27230;33330;105;70;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"A1 All fields of study";33080;30040;27500;34800;4514;;33980;30920;28290;35070;4911;3673;34730;31720;28840;35810;4878;3652;35730;32590;29460;36860;4788;3608;36390;33210;30470;37380;3728;2840;36900;33760;30690;38120;3442;
"Unknown or no completed education (level 0, 9)";"5 years or more";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"5 years or more";"9 Unspecified field of study";33080;30040;27500;34800;4514;;33980;30920;28290;35070;4911;3673;34730;31720;28840;35810;4878;3652;35730;32590;29460;36860;4788;3608;36390;33210;30470;37380;3728;2840;36900;33760;30690;38120;3442;
"Unknown or no completed education (level 0, 9)";"Unknown";"A1 All fields of study";32680;29190;26140;34620;151867;;33990;30110;27520;35930;175985;144740;34800;31050;28490;36680;189305;157470;35560;32250;29230;37500;204991;171584;37230;33290;30130;39470;177219;150498;38890;34670;30780;41440;170829;143459
"Unknown or no completed education (level 0, 9)";"Unknown";"0 General subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"1 Humanities and arts";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"2 Teacher training and pedagogy";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"3 Social sciences and law";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"4 Business and administration";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"5 Natural sciences, vocational and technical subjects";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"6 Health, welfare and sport";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"7 Primary industries";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"8 Transport and communications, safety and security and other services";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unknown or no completed education (level 0, 9)";"Unknown";"9 Unspecified field of study";32680;29190;26140;34620;151867;;33990;30110;27520;35930;175985;144740;34800;31050;28490;36680;189305;157470;35560;32250;29230;37500;204991;171584;37230;33290;30130;39470;177219;150498;38890;34670;30780;41440;170829;143459
